SRR_No,Treatment
SRR830182,5-days-old
SRR830183,5-days-old
SRR830184,5-days-old
SRR830185,10-days-old
SRR830186,10-days-old
SRR830187,10-days-old
SRR830188,15-days-old
SRR830189,15-days-old
SRR830190,15-days-old
SRR830191,20-days-old
SRR830192,20-days-old
SRR830193,20-days-old
SRR830194,25-days-old
SRR830195,25-days-old
SRR830196,25-days-old
SRR830197,30-days-old
SRR830198,30-days-old
SRR830199,30-days-old
SRR830200,35-days-old
SRR830201,35-days-old
SRR830202,35-days-old
SRR830203,40-days-old
SRR830204,40-days-old
SRR830205,40-days-old
SRR830206,45-days-old
SRR830207,45-days-old
SRR830208,45-days-old
SRR830209,55-days-old
SRR830210,55-days-old
SRR830211,55-days-old

